CDIddGO;GTIN;DESCRIO;UN.;PR. ATUAL;ESTQ. DISP.;PRE�O EFETIVO;FIG.ICMS/ICMS-ST;FIG.PIS/COFINS;NCM;
2128;7896015912048;FAROFA MANDIOCA PINDUCA 250G CHURRASCO;UN;6,29;-8;3,79;17;1;19019090;
1975;7896015911942;FAROFA MANDIOCA PINDUCA 250G PICANHA PIMENTA;UN;6,29;-4;3,33;17;1;19019090;
4168;7896015912253;FAROFA MANDIOCA PINDUCA 250G SOJA;UN;5,99;0;3,615;17;1;19019090;
1978;7896015910709;FAROFA MANDIOCA PINDUCA 250G SUAVE;UN;6,29;9;2,99;17;1;19019090;
7232;7896015911577;FAROFA MANDIOCA PINDUCA 400G TRADICIONAL;UN;7,49;0;4,89;17;1;19019090;
1972;7896015910518;FAROFA MANDIOCA PINDUCA 500G TRADICIONAL;UN;9,99;0;5,3233;17;1;19019090;
12718;7896655403012;FAROFA MANDIOCA ROCHA 250G BACON;UN;4,99;10;2,8575;17;1;19019090;
12717;7896655403029;FAROFA MANDIOCA ROCHA 250G PICANHA;UN;4,99;11;2,8575;17;1;19019090;
12716;7896655401414;FAROFA MANDIOCA ROCHA 250G SUAVE;UN;4,99;9;2,8575;17;1;19019090;
12719;7896655401407;FAROFA MANDIOCA ROCHA 250G TRADICIONAL;UN;4,99;6;2,8575;17;1;19019090;
5035;7898199125573;FAROFA MANDIOCA SULITA 300G BACON;UN;9,5;0;6,4953;17;1;19019090;
5882;7891095030057;FAROFA MANDIOCA YOKI 200G BATATA PALHA;UN;4,99;0;5,07;17;1;19019090;
9942;7891095911660;FAROFA MANDIOCA YOKI 200G CASEIRISSIMA BANANA;UN;8,49;-2;5,5;17;1;19019090;
9943;7891095911677;FAROFA MANDIOCA YOKI 200G CASEIRISSIMA CEBOLA;UN;8,49;0;6;17;1;19019090;
9944;7891095911684;FAROFA MANDIOCA YOKI 200G CASEIRISSIMA COSTELINHA DEFUMADA;UN;8,49;-1;5,4417;17;1;19019090;
5883;7891095028993;FAROFA MANDIOCA YOKI 200G CEBOLA;UN;4,99;0;5,07;17;1;19019090;
5884;7891095030064;FAROFA MANDIOCA YOKI 200G SOJA;UN;4,99;0;5,28;17;1;19019090;
5885;7891095030040;FAROFA MANDIOCA YOKI 200G TEMPERO SUAVE;UN;4,99;-9;2,9236;17;1;19019090;
10569;7891095911639;FAROFA MANDIOCA YOKI 200G TRADICIONAL;UN;4,99;6;3,1764;17;1;19019090;
1970;7891095005895;FAROFA MANDIOCA YOKI 250G TRADICIONAL;UN;6,5;0;3,5167;17;1;19019090;
1969;7891095911486;FAROFA MANDIOCA YOKI 400G TRADICIONAL;UN;11,29;-1;5,5;17;1;19019090;
6729;7891095911561;FAROFA MANDIOCA YOKI 400G TRADICIONAL LP;UN;8,99;3;5,65;17;1;19019090;
2130;7896015910600;FAROFA MILHO PINDUCA 400G;UN;8,99;0;5,9;17;1;19019090;
4169;7891095031382;FAROFA MILHO YOKI 380G PREMIUM;UN;12,99;0;9,12;17;1;19019090;
1971;7891095911448;FAROFA MILHO YOKI 400G TRADICIONAL;UN;13,99;0;9,2675;17;1;19019090;
4897;7891203067838;FAROFA PANCO 250G ALHOCEBOLA SALSA;UN;6,99;6;4,3;17;1;19019090;
8257;7891203011664;FAROFA PANCO 400G TRADICIONAL;UN;9,99;0;6,25;17;1;19019090;
12452;7896655405528;FAROFA PRONTA ROCHA 1 KG SABOR BACON;UN;13,99;6;9,324;17;1;19019090;
12451;7896655403708;FAROFA PRONTA ROCHA 1 KG TRADICIONAL;UN;13,99;-2;0;17;1;19019090;
13373;7898067340725;FAROFA PRONTA TEMPERADA SANTA MASSA 200G PICANTE;UN;8,49;0;0;17;1;19019090;
13374;7898067340718;FAROFA PRONTA TEMPERADA SANTA MASSA 200G TRADICIONAL;UN;8,49;-1;0;17;1;19019090;
